,commit ID,author name,committer name,message,URL,commit date,message_preprocessed
4,C_kwDOAD-LgtoAKDUxZmFmNGJkMTcyY2Q0Y2IyMTlhOTc5M2ZhY2JmYTAwMjQ2YzlmM2M,Francesco Panico,Mariusz Felisiak,"Fixed #34148 -- Reverted ""Fixed #32901 -- Optimized BaseForm.__getitem__().""

This reverts commit edde2a069929c93e37835dc3f7c9a229040058e2.

Thanks Jan Pieter Waagmeester for the report.",https://api.github.com/repos/django/django/git/commits/51faf4bd172cd4cb219a9793facbfa00246c9f3c,2022-11-17,This reverts commit edde2a069929c93e37835dc3f7c9a229040058e2
4,C_kwDOAD-LgtoAKDUxZmFmNGJkMTcyY2Q0Y2IyMTlhOTc5M2ZhY2JmYTAwMjQ2YzlmM2M,Francesco Panico,Mariusz Felisiak,"Fixed #34148 -- Reverted ""Fixed #32901 -- Optimized BaseForm.__getitem__().""

This reverts commit edde2a069929c93e37835dc3f7c9a229040058e2.

Thanks Jan Pieter Waagmeester for the report.",https://api.github.com/repos/django/django/git/commits/51faf4bd172cd4cb219a9793facbfa00246c9f3c,2022-11-17,Thanks Jan Pieter Waagmeester for the report.
5,C_kwDOAD-LgtoAKGQzY2I5MWRiODdiNzg2MjljMGQyNjgyNjMwZTkwYTA0ODI3NTE3OWU,Nick Pope,Mariusz Felisiak,"Used more augmented assignment statements.

Identified using the following command:

$ git grep -I '\(\<[_a-zA-Z0-9]\+\>\) *= *\1 *[-+/*^%&|<>@]'",https://api.github.com/repos/django/django/git/commits/d3cb91db87b78629c0d2682630e90a048275179e,2022-01-28,Used more augmented assignment statements.
5,C_kwDOAD-LgtoAKGQzY2I5MWRiODdiNzg2MjljMGQyNjgyNjMwZTkwYTA0ODI3NTE3OWU,Nick Pope,Mariusz Felisiak,"Used more augmented assignment statements.

Identified using the following command:

$ git grep -I '\(\<[_a-zA-Z0-9]\+\>\) *= *\1 *[-+/*^%&|<>@]'",https://api.github.com/repos/django/django/git/commits/d3cb91db87b78629c0d2682630e90a048275179e,2022-01-28,Identified using the following command
5,C_kwDOAD-LgtoAKGQzY2I5MWRiODdiNzg2MjljMGQyNjgyNjMwZTkwYTA0ODI3NTE3OWU,Nick Pope,Mariusz Felisiak,"Used more augmented assignment statements.

Identified using the following command:

$ git grep -I '\(\<[_a-zA-Z0-9]\+\>\) *= *\1 *[-+/*^%&|<>@]'",https://api.github.com/repos/django/django/git/commits/d3cb91db87b78629c0d2682630e90a048275179e,2022-01-28,$ git grep -I '\(\<[_a-zA-Z0-9]\+\>\) *= *\1 *[-+/*^%&|<>@]'
6,C_kwDOAD-LgtoAKGVjNTY1OTM4MmE1ZjVmYzJkYWYwYzg3Y2NjODlkMGZiMDc1MzQ4NzQ,David Smith,Carlton Gibson,Fixed #32339 -- Added div.html form template.,https://api.github.com/repos/django/django/git/commits/ec5659382a5f5fc2daf0c87ccc89d0fb07534874,2022-05-05,Fixed #32339 -- Added div.html form template.
6,C_kwDOAD-LgtoAKGVjNTY1OTM4MmE1ZjVmYzJkYWYwYzg3Y2NjODlkMGZiMDc1MzQ4NzQ,David Smith,Carlton Gibson,Fixed #32339 -- Added div.html form template.,https://api.github.com/repos/django/django/git/commits/ec5659382a5f5fc2daf0c87ccc89d0fb07534874,2022-05-05,
7,C_kwDOAD-LgtoAKDQ3NmQ0ZDUwODcxNzk3NzEwMWJiYTFhN2Y3NjU2NTNlNDhlODhlNzY,Carlton Gibson,Carlton Gibson,"Refs #32339 -- Allowed renderer to specify default form and formset templates.

Co-authored-by: David Smith <smithdc@gmail.com>",https://api.github.com/repos/django/django/git/commits/476d4d508717977101bba1a7f765653e48e88e76,2022-04-26,Refs #32339 -- Allowed renderer to specify default form and formset templates.
7,C_kwDOAD-LgtoAKDQ3NmQ0ZDUwODcxNzk3NzEwMWJiYTFhN2Y3NjU2NTNlNDhlODhlNzY,Carlton Gibson,Carlton Gibson,"Refs #32339 -- Allowed renderer to specify default form and formset templates.

Co-authored-by: David Smith <smithdc@gmail.com>",https://api.github.com/repos/django/django/git/commits/476d4d508717977101bba1a7f765653e48e88e76,2022-04-26,Co-authored-by: David Smith <smithdc@gmail.com>
8,C_kwDOAD-LgtoAKDljMTlhZmY3Yzc1NjFlM2E4Mjk3OGEyNzJlY2RhYWQ0MGRkYTVjMDA,django-bot,Mariusz Felisiak,Refs #33476 -- Reformatted code with Black.,https://api.github.com/repos/django/django/git/commits/9c19aff7c7561e3a82978a272ecdaad40dda5c00,2022-02-03,Refs #33476 -- Reformatted code with Black.
8,C_kwDOAD-LgtoAKDljMTlhZmY3Yzc1NjFlM2E4Mjk3OGEyNzJlY2RhYWQ0MGRkYTVjMDA,django-bot,Mariusz Felisiak,Refs #33476 -- Reformatted code with Black.,https://api.github.com/repos/django/django/git/commits/9c19aff7c7561e3a82978a272ecdaad40dda5c00,2022-02-03,
9,MDY6Q29tbWl0NDE2NDQ4Mjo0NTY0NjZkOTMyODMwYjA5NmQzOTgwNmUyOTFmZTIzZWM1ZWQzOGQ1,David Smith,Mariusz Felisiak,"Fixed #31026 -- Switched form rendering to template engine.

Thanks Carlton Gibson, Keryn Knight, Mariusz Felisiak, and Nick Pope
for reviews.

Co-authored-by: Johannes Hoppe <info@johanneshoppe.com>",https://api.github.com/repos/django/django/git/commits/456466d932830b096d39806e291fe23ec5ed38d5,2021-09-10,Fixed #31026 -- Switched form rendering to template engine.
9,MDY6Q29tbWl0NDE2NDQ4Mjo0NTY0NjZkOTMyODMwYjA5NmQzOTgwNmUyOTFmZTIzZWM1ZWQzOGQ1,David Smith,Mariusz Felisiak,"Fixed #31026 -- Switched form rendering to template engine.

Thanks Carlton Gibson, Keryn Knight, Mariusz Felisiak, and Nick Pope
for reviews.

Co-authored-by: Johannes Hoppe <info@johanneshoppe.com>",https://api.github.com/repos/django/django/git/commits/456466d932830b096d39806e291fe23ec5ed38d5,2021-09-10,"Thanks Carlton Gibson, Keryn Knight, Mariusz Felisiak, and Nick Pope
for reviews"
9,MDY6Q29tbWl0NDE2NDQ4Mjo0NTY0NjZkOTMyODMwYjA5NmQzOTgwNmUyOTFmZTIzZWM1ZWQzOGQ1,David Smith,Mariusz Felisiak,"Fixed #31026 -- Switched form rendering to template engine.

Thanks Carlton Gibson, Keryn Knight, Mariusz Felisiak, and Nick Pope
for reviews.

Co-authored-by: Johannes Hoppe <info@johanneshoppe.com>",https://api.github.com/repos/django/django/git/commits/456466d932830b096d39806e291fe23ec5ed38d5,2021-09-10,Co-authored-by: Johannes Hoppe <info@johanneshoppe.com>
10,MDY6Q29tbWl0NDE2NDQ4MjowZGMyNTUyNmQ4ZGFhYWE1OTk2OGQ0YjFiNTk3OTY4ZTE5N2YwNDBj,Chris Jerdonek,Carlton Gibson,Fixed #32924 -- Changed BaseForm.get_initial_for_field() to remove microseconds when needed.,https://api.github.com/repos/django/django/git/commits/0dc25526d8daaaa59968d4b1b597968e197f040c,2021-07-14,Fixed #32924 -- Changed BaseForm.get_initial_for_field() to remove microseconds when needed.
10,MDY6Q29tbWl0NDE2NDQ4MjowZGMyNTUyNmQ4ZGFhYWE1OTk2OGQ0YjFiNTk3OTY4ZTE5N2YwNDBj,Chris Jerdonek,Carlton Gibson,Fixed #32924 -- Changed BaseForm.get_initial_for_field() to remove microseconds when needed.,https://api.github.com/repos/django/django/git/commits/0dc25526d8daaaa59968d4b1b597968e197f040c,2021-07-14,
11,MDY6Q29tbWl0NDE2NDQ4MjowOGYwNzc4ODg1NDhhOTUxZjAxYjQ1NGQwZGIwOGQ5NDA3ZjdmMGFh,Chris Jerdonek,Carlton Gibson,Refs #32920 -- Added BoundField._has_changed() for use in BaseForm.changed_data().,https://api.github.com/repos/django/django/git/commits/08f077888548a951f01b454d0db08d9407f7f0aa,2021-07-13,Refs #32920 -- Added BoundField._has_changed() for use in BaseForm.changed_data().
11,MDY6Q29tbWl0NDE2NDQ4MjowOGYwNzc4ODg1NDhhOTUxZjAxYjQ1NGQwZGIwOGQ5NDA3ZjdmMGFh,Chris Jerdonek,Carlton Gibson,Refs #32920 -- Added BoundField._has_changed() for use in BaseForm.changed_data().,https://api.github.com/repos/django/django/git/commits/08f077888548a951f01b454d0db08d9407f7f0aa,2021-07-13,
12,MDY6Q29tbWl0NDE2NDQ4Mjo5MGEzM2FiMmNlZGRlZjdmMmNkZDExNjEyZjc3ZWE5Mjk2Y2M3ZmI5,Chris Jerdonek,Carlton Gibson,Fixed #32920 -- Changed BaseForm to access its values through bound fields.,https://api.github.com/repos/django/django/git/commits/90a33ab2ceddef7f2cdd11612f77ea9296cc7fb9,2021-07-13,Fixed #32920 -- Changed BaseForm to access its values through bound fields.
12,MDY6Q29tbWl0NDE2NDQ4Mjo5MGEzM2FiMmNlZGRlZjdmMmNkZDExNjEyZjc3ZWE5Mjk2Y2M3ZmI5,Chris Jerdonek,Carlton Gibson,Fixed #32920 -- Changed BaseForm to access its values through bound fields.,https://api.github.com/repos/django/django/git/commits/90a33ab2ceddef7f2cdd11612f77ea9296cc7fb9,2021-07-13,
13,MDY6Q29tbWl0NDE2NDQ4Mjo0YmU1OGZjYzM2OWEwMjRiZDdhYzcyYmIwOWFmN2QyMzA0OTljY2Ni,Chris Jerdonek,GitHub,Fixed #32917 -- Added BaseForm._widget_data_value()/_field_data_value().,https://api.github.com/repos/django/django/git/commits/4be58fcc369a024bd7ac72bb09af7d230499cccb,2021-07-13,Fixed #32917 -- Added BaseForm._widget_data_value()/_field_data_value().
13,MDY6Q29tbWl0NDE2NDQ4Mjo0YmU1OGZjYzM2OWEwMjRiZDdhYzcyYmIwOWFmN2QyMzA0OTljY2Ni,Chris Jerdonek,GitHub,Fixed #32917 -- Added BaseForm._widget_data_value()/_field_data_value().,https://api.github.com/repos/django/django/git/commits/4be58fcc369a024bd7ac72bb09af7d230499cccb,2021-07-13,
14,MDY6Q29tbWl0NDE2NDQ4MjplZGRlMmEwNjk5MjljOTNlMzc4MzVkYzNmN2M5YTIyOTA0MDA1OGUy,Chris Jerdonek,GitHub,Fixed #32901 -- Optimized BaseForm.__getitem__().,https://api.github.com/repos/django/django/git/commits/edde2a069929c93e37835dc3f7c9a229040058e2,2021-07-05,Fixed #32901 -- Optimized BaseForm.__getitem__().
14,MDY6Q29tbWl0NDE2NDQ4MjplZGRlMmEwNjk5MjljOTNlMzc4MzVkYzNmN2M5YTIyOTA0MDA1OGUy,Chris Jerdonek,GitHub,Fixed #32901 -- Optimized BaseForm.__getitem__().,https://api.github.com/repos/django/django/git/commits/edde2a069929c93e37835dc3f7c9a229040058e2,2021-07-05,
15,MDY6Q29tbWl0NDE2NDQ4MjpkMTc5MTUzOWE3ZDg2NzM5Y2Q0NGM5MDlmYTgyMzljYWU3Zjg1ODc0,Vitaliy Yelnik,GitHub,Simplified DeclarativeFieldsMetaclass.__new__() a bit.,https://api.github.com/repos/django/django/git/commits/d1791539a7d86739cd44c909fa8239cae7f85874,2020-11-02,Simplified DeclarativeFieldsMetaclass.__new__() a bit.
15,MDY6Q29tbWl0NDE2NDQ4MjpkMTc5MTUzOWE3ZDg2NzM5Y2Q0NGM5MDlmYTgyMzljYWU3Zjg1ODc0,Vitaliy Yelnik,GitHub,Simplified DeclarativeFieldsMetaclass.__new__() a bit.,https://api.github.com/repos/django/django/git/commits/d1791539a7d86739cd44c909fa8239cae7f85874,2020-11-02,
16,MDY6Q29tbWl0NDE2NDQ4Mjo0OTI3NWM1NDg4ODc3NjljZDcwYmJkODVhM2IxMjU0OTFmMGM0MDYy,Hasan Ramezani,Mariusz Felisiak,Fixed #30261 -- Prevented Form._html_output() from mutating errors if hidden fields have errors.,https://api.github.com/repos/django/django/git/commits/49275c548887769cd70bbd85a3b125491f0c4062,2020-02-10,Fixed #30261 -- Prevented Form._html_output() from mutating errors if hidden fields have errors.
16,MDY6Q29tbWl0NDE2NDQ4Mjo0OTI3NWM1NDg4ODc3NjljZDcwYmJkODVhM2IxMjU0OTFmMGM0MDYy,Hasan Ramezani,Mariusz Felisiak,Fixed #30261 -- Prevented Form._html_output() from mutating errors if hidden fields have errors.,https://api.github.com/repos/django/django/git/commits/49275c548887769cd70bbd85a3b125491f0c4062,2020-02-10,
17,MDY6Q29tbWl0NDE2NDQ4Mjo4NmEwMjMxZTBhMDg3ZDRiOTA5Zjc2MjIzY2M1NWQ1YmJiNjczOTMw,Jon Dufresne,Carlton Gibson,Refs #23919 -- Replaced super(...) with super() in metaclasses.,https://api.github.com/repos/django/django/git/commits/86a0231e0a087d4b909f76223cc55d5bbb673930,2019-11-28,Refs #23919 -- Replaced super(...) with super() in metaclasses.
17,MDY6Q29tbWl0NDE2NDQ4Mjo4NmEwMjMxZTBhMDg3ZDRiOTA5Zjc2MjIzY2M1NWQ1YmJiNjczOTMw,Jon Dufresne,Carlton Gibson,Refs #23919 -- Replaced super(...) with super() in metaclasses.,https://api.github.com/repos/django/django/git/commits/86a0231e0a087d4b909f76223cc55d5bbb673930,2019-11-28,
18,MDY6Q29tbWl0NDE2NDQ4MjoxMjk1ODNhMGQzY2Y2OWIwOGQwNThjZDc1MWQ3Nzc1ODg4MDFiN2Fk,Mads Jensen,Mariusz Felisiak,"Removed some outdated backwards compatibility imports and misleading comments.

EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab.
FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0.
BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9.
EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797.
BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.",https://api.github.com/repos/django/django/git/commits/129583a0d3cf69b08d058cd751d777588801b7ad,2019-07-18,Removed some outdated backwards compatibility imports and misleading comments.
18,MDY6Q29tbWl0NDE2NDQ4MjoxMjk1ODNhMGQzY2Y2OWIwOGQwNThjZDc1MWQ3Nzc1ODg4MDFiN2Fk,Mads Jensen,Mariusz Felisiak,"Removed some outdated backwards compatibility imports and misleading comments.

EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab.
FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0.
BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9.
EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797.
BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.",https://api.github.com/repos/django/django/git/commits/129583a0d3cf69b08d058cd751d777588801b7ad,2019-07-18,EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab
18,MDY6Q29tbWl0NDE2NDQ4MjoxMjk1ODNhMGQzY2Y2OWIwOGQwNThjZDc1MWQ3Nzc1ODg4MDFiN2Fk,Mads Jensen,Mariusz Felisiak,"Removed some outdated backwards compatibility imports and misleading comments.

EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab.
FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0.
BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9.
EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797.
BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.",https://api.github.com/repos/django/django/git/commits/129583a0d3cf69b08d058cd751d777588801b7ad,2019-07-18,FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0
18,MDY6Q29tbWl0NDE2NDQ4MjoxMjk1ODNhMGQzY2Y2OWIwOGQwNThjZDc1MWQ3Nzc1ODg4MDFiN2Fk,Mads Jensen,Mariusz Felisiak,"Removed some outdated backwards compatibility imports and misleading comments.

EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab.
FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0.
BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9.
EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797.
BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.",https://api.github.com/repos/django/django/git/commits/129583a0d3cf69b08d058cd751d777588801b7ad,2019-07-18,BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9
18,MDY6Q29tbWl0NDE2NDQ4MjoxMjk1ODNhMGQzY2Y2OWIwOGQwNThjZDc1MWQ3Nzc1ODg4MDFiN2Fk,Mads Jensen,Mariusz Felisiak,"Removed some outdated backwards compatibility imports and misleading comments.

EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab.
FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0.
BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9.
EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797.
BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.",https://api.github.com/repos/django/django/git/commits/129583a0d3cf69b08d058cd751d777588801b7ad,2019-07-18,EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797
18,MDY6Q29tbWl0NDE2NDQ4MjoxMjk1ODNhMGQzY2Y2OWIwOGQwNThjZDc1MWQ3Nzc1ODg4MDFiN2Fk,Mads Jensen,Mariusz Felisiak,"Removed some outdated backwards compatibility imports and misleading comments.

EmptyResultSet moved in 46509cf13dbf049f75077981c29ef2c60b5a96ab.
FieldDoesNotExist moved in 8958170755b37ce346ae5257c1000bd936faa3b0.
BoundField and pretty_name moved in 8550161e531a603d57723850fb09c4c9b7ca60b9.
EMPTY_VALUES moved in 471596fc1afcb9c6258d317c619eaf5fd394e797.
BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.",https://api.github.com/repos/django/django/git/commits/129583a0d3cf69b08d058cd751d777588801b7ad,2019-07-18,BaseRunserverCommand moved in 5c53e30607014163872e89c221b206992a9acfef.
19,MDY6Q29tbWl0NDE2NDQ4MjowM2RiNWZkZGZkMGM3NjMwM2VjODNlYjFjZDkxYTZkMmRjNDQ0MWNi,Ville Skyttä,Mariusz Felisiak,"Fixed typos in docs, comments, and exception messages.",https://api.github.com/repos/django/django/git/commits/03db5fddfd0c76303ec83eb1cd91a6d2dc4441cb,2019-04-14,"Fixed typos in docs, comments, and exception messages."
19,MDY6Q29tbWl0NDE2NDQ4MjowM2RiNWZkZGZkMGM3NjMwM2VjODNlYjFjZDkxYTZkMmRjNDQ0MWNi,Ville Skyttä,Mariusz Felisiak,"Fixed typos in docs, comments, and exception messages.",https://api.github.com/repos/django/django/git/commits/03db5fddfd0c76303ec83eb1cd91a6d2dc4441cb,2019-04-14,
20,MDY6Q29tbWl0NDE2NDQ4Mjo0YzA4NmQ3ZGE0YzVjZjIzOTM1YTUzNDBkYmI5YThkNjgzNWNmN2Nj,Andra Denis Ionescu,Tim Graham,Fixed #29459 -- Initialized form data/files with empty MultiValueDicts.,https://api.github.com/repos/django/django/git/commits/4c086d7da4c5cf23935a5340dbb9a8d6835cf7cc,2019-03-05,Fixed #29459 -- Initialized form data/files with empty MultiValueDicts.
20,MDY6Q29tbWl0NDE2NDQ4Mjo0YzA4NmQ3ZGE0YzVjZjIzOTM1YTUzNDBkYmI5YThkNjgzNWNmN2Nj,Andra Denis Ionescu,Tim Graham,Fixed #29459 -- Initialized form data/files with empty MultiValueDicts.,https://api.github.com/repos/django/django/git/commits/4c086d7da4c5cf23935a5340dbb9a8d6835cf7cc,2019-03-05,
21,MDY6Q29tbWl0NDE2NDQ4MjoxOTMzZTU2ZWNhMWFkMTdkZTdkZDEzM2JmYjdjYmVlOTg1OGE3NWEz,Sergey Fedoseev,Tim Graham,Removed uneeded generator expressions and list comprehensions.,https://api.github.com/repos/django/django/git/commits/1933e56eca1ad17de7dd133bfb7cbee9858a75a3,2019-02-09,Removed uneeded generator expressions and list comprehensions.
21,MDY6Q29tbWl0NDE2NDQ4MjoxOTMzZTU2ZWNhMWFkMTdkZTdkZDEzM2JmYjdjYmVlOTg1OGE3NWEz,Sergey Fedoseev,Tim Graham,Removed uneeded generator expressions and list comprehensions.,https://api.github.com/repos/django/django/git/commits/1933e56eca1ad17de7dd133bfb7cbee9858a75a3,2019-02-09,
22,MDY6Q29tbWl0NDE2NDQ4MjoyNGI4MmNkMjAxZTIxMDYwZmJjMDIxMTdkYzE2ZDE3MDI4NzdhMWYz,Nick Pope,Tim Graham,"Fixed #30159 -- Removed unneeded use of OrderedDict.

Dicts preserve order since Python 3.6.",https://api.github.com/repos/django/django/git/commits/24b82cd201e21060fbc02117dc16d1702877a1f3,2019-02-05,Fixed #30159 -- Removed unneeded use of OrderedDict.
22,MDY6Q29tbWl0NDE2NDQ4MjoyNGI4MmNkMjAxZTIxMDYwZmJjMDIxMTdkYzE2ZDE3MDI4NzdhMWYz,Nick Pope,Tim Graham,"Fixed #30159 -- Removed unneeded use of OrderedDict.

Dicts preserve order since Python 3.6.",https://api.github.com/repos/django/django/git/commits/24b82cd201e21060fbc02117dc16d1702877a1f3,2019-02-05,Dicts preserve order since Python 3.6.
23,MDY6Q29tbWl0NDE2NDQ4MjozNjI4MTNkNjI4NzkyNWI4ZjYzZjBiMTA3YzU1YTc0ZDk1ZjU4MjVl,Mariusz Felisiak,GitHub,Fixed hanging indentation in various code.,https://api.github.com/repos/django/django/git/commits/362813d6287925b8f63f0b107c55a74d95f5825e,2018-03-16,Fixed hanging indentation in various code.
23,MDY6Q29tbWl0NDE2NDQ4MjozNjI4MTNkNjI4NzkyNWI4ZjYzZjBiMTA3YzU1YTc0ZDk1ZjU4MjVl,Mariusz Felisiak,GitHub,Fixed hanging indentation in various code.,https://api.github.com/repos/django/django/git/commits/362813d6287925b8f63f0b107c55a74d95f5825e,2018-03-16,
24,MDY6Q29tbWl0NDE2NDQ4MjpkMzY4Nzg0YmFjYzdlNThiNDI2ZjI5OTM3ZWU4NDJhYTE0ZDQzOWFk,Herbert Parentes Fortes Neto,Tim Graham,Fixed #28171 -- Added an exception if Form's empty_permitted and use_required_attribute arguments conflict.,https://api.github.com/repos/django/django/git/commits/d368784bacc7e58b426f29937ee842aa14d439ad,2018-02-12,Fixed #28171 -- Added an exception if Form's empty_permitted and use_required_attribute arguments conflict.
24,MDY6Q29tbWl0NDE2NDQ4MjpkMzY4Nzg0YmFjYzdlNThiNDI2ZjI5OTM3ZWU4NDJhYTE0ZDQzOWFk,Herbert Parentes Fortes Neto,Tim Graham,Fixed #28171 -- Added an exception if Form's empty_permitted and use_required_attribute arguments conflict.,https://api.github.com/repos/django/django/git/commits/d368784bacc7e58b426f29937ee842aa14d439ad,2018-02-12,
25,MDY6Q29tbWl0NDE2NDQ4MjpmZjA1ZGU3NjBjYzRlZjRjN2YxODhlMTYzYzcyMmVjM2JjMWYwY2Jm,Jon Dufresne,Tim Graham,Fixed #29038 -- Removed closing slash from HTML void tags.,https://api.github.com/repos/django/django/git/commits/ff05de760cc4ef4c7f188e163c722ec3bc1f0cbf,2018-01-21,Fixed #29038 -- Removed closing slash from HTML void tags.
