text;predicted_decision;predicted_rationale
mm/rmap: rename hugepage_add* to hugetlb_add*;1;0
"Patch series ""mm/rmap: interface overhaul"", v2";0;1
"This series overhauls the rmap interface, to get rid of the ""bool
compound"" / RMAP_COMPOUND parameter with the goal of making the interface
less error prone, more future proof, and more natural to extend to
""batching""";0;1
" Also, this converts the interface to always consume
folio+subpage, which speeds up operations on large folios";0;1
"Further, this series adds PTE-batching variants for 4 rmap functions,
whereby only folio_add_anon_rmap_ptes() is used for batching in this
series when PTE-remapping a PMD-mapped THP";1;0
" folio_remove_rmap_ptes(),
folio_try_dup_anon_rmap_ptes() and folio_dup_file_rmap_ptes() will soon
come in handy[1,2]";1;0
This series performs a lot of folio conversion along the way;1;1
" Most of the
added LOC in the diff are only due to documentation";1;0
"As we're moving to a pte/pmd interface where we clearly express the
mapping granularity we are dealing with, we first get the remainder of
hugetlb out of the way, as it is special and expected to remain special";0;1
"it treats everything as a ""single logical PTE"" and only currently allows
entire mappings";1;1
"Even if we'd ever support partial mappings, I strongly assume the
interface and implementation will still differ heavily: hopefull we can
avoid working on subpages/subpage mapcounts completely and only add a
""count"" parameter for them to enable batching";1;1
New (extended) hugetlb interface that operates on entire folio;0;1
"New ""ordinary"" interface for small folios / THP:";1;0
"folio_add_new_anon_rmap() will always map at the largest granularity
possible (currently, a single PMD to cover a PMD-sized THP)";1;0
" Could be
extended if ever required";0;0
"In the future, we might want ""_pud"" variants and eventually ""_pmds""
variants for batching";1;1
I ran some simple microbenchmarks on an Intel(R) Xeon(R) Silver 4210R;1;1
measuring munmap(), fork(), cow, MADV_DONTNEED on each PTE ..;1;0
" and PTE
remapping PMD-mapped THPs on 1 GiB of memory";0;0
For small folios, there is barely a change (< 1% improvement for me);0;0
For PTE-mapped THP:;0;0
mm: migrate: fix getting incorrect page mapping during page migration;1;1
When running stress-ng testing, we found below kernel crash after a few hours;0;0
"Unable to handle kernel NULL pointer dereference at virtual address 0000000000000000
pc : dentry_name+0xd8/0x224
lr : pointer+0x22c/0x370
sp : ffff800025f134c0
Call trace";0;1
"  dentry_name+0xd8/0x224
  pointer+0x22c/0x370
  vsnprintf+0x1ec/0x730
  vscnprintf+0x2c/0x60
  vprintk_store+0x70/0x234
  vprintk_emit+0xe0/0x24c
  vprintk_default+0x3c/0x44
  vprintk_func+0x84/0x2d0
  printk+0x64/0x88
  __dump_page+0x52c/0x530
  dump_page+0x14/0x20
  set_migratetype_isolate+0x110/0x224
  start_isolate_page_range+0xc4/0x20c
  offline_pages+0x124/0x474
  memory_block_offline+0x44/0xf4
  memory_subsys_offline+0x3c/0x70
  device_offline+0xf0/0x120
After analyzing the vmcore, I found this issue is caused by page migration";0;0
"The scenario is that, one thread is doing page migration, and we will use the
target page's ->mapping field to save 'anon_vma' pointer between page unmap and
page move, and now the target page is locked and refcount is 1";0;0
"Currently, there is another stress-ng thread performing memory hotplug,
attempting to offline the target page that is being migrated";0;1
"It discovers that
the refcount of this target page is 1, preventing the offline operation, thus
proceeding to dump the page";0;1
"However, page_mapping() of the target page may
return an incorrect file mapping to crash the system in dump_mapping(), since
the target page->mapping only saves 'anon_vma' pointer without setting
PAGE_MAPPING_ANON flag";1;0
There are seveval ways to fix this issue;0;1
"(1) Setting the PAGE_MAPPING_ANON flag for target page's ->mapping when saving
'anon_vma', but this can confuse PageAnon() for PFN walkers, since the target
page has not built mappings yet";1;1
"(2) Getting the page lock to call page_mapping() in __dump_page() to avoid crashing
the system, however, there are still some PFN walkers that call page_mapping()
without holding the page lock, such as compaction";0;1
"(3) Using target page->private field to save the 'anon_vma' pointer and 2 bits
page state, just as page->mapping records an anonymous page, which can remove
the page_mapping() impact for PFN walkers and also seems a simple way";1;1
"So I choose option 3 to fix this issue, and this can also fix other potential
issues for PFN walkers, such as compaction.";1;1
mm: migrate high-order folios in swap cache correctly;1;0
"Large folios occupy N consecutive entries in the swap cache instead of
using multi-index entries like the page cache";1;0
" However, if a large folio
is re-added to the LRU list, it can be migrated";0;0
" The migration code was
not aware of the difference between the swap cache and the page cache and
assumed that a single xas_store() would be sufficient";0;0
"This leaves potentially many stale pointers to the now-migrated folio in
the swap cache, which can lead to almost arbitrary data corruption in the
future";0;1
" This can also manifest as infinite loops with the RCU read lock
held.";1;1
fs: Rename mapping private members;1;1
"It is hard to find where mapping->private_lock, mapping->private_list and
mapping->private_data are used, due to private_XXX being a relatively
common name for variables and structure members in the kernel";0;1
" To fit
with other members of struct address_space, rename them all to have an
i_ prefix";1;0
 Tested with an allmodconfig build.;1;0
mm: Add AS_UNMOVABLE to mark mapping as completely unmovable;1;0
"Add an ""unmovable"" flag for mappings that cannot be migrated under any
circumstance";1;1
" KVM will use the flag for its upcoming GUEST_MEMFD support,
which will not support compaction/migration, at least not in the
foreseeable future";0;0
"Test AS_UNMOVABLE under folio lock as already done for the async
compaction/dirty folio case, as the mapping can be removed by truncation
while compaction is running";1;1
" To avoid having to lock every folio with a
mapping, assume/require that unmovable mappings are also unevictable, and
have mapping_set_unmovable() also set AS_UNEVICTABLE.";0;1
mm: migrate: record the mlocked page status to remove unnecessary lru drain;1;1
"When doing compaction, I found the lru_add_drain() is an obvious hotspot
when migrating pages";1;1
The distribution of this hotspot is as follows;0;0
"   - 18.75% compact_zone
      - 17.39% migrate_pages
         - 13.79% migrate_pages_batch
            - 11.66% migrate_folio_move
               - 7.02% lru_add_drain
                  + 7.02% lru_add_drain_cpu
               + 3.00% move_to_new_folio
                 1.23% rmap_walk
            + 1.92% migrate_folio_unmap
         + 3.20% migrate_pages_sync
      + 0.90% isolate_migratepages
The lru_add_drain() was added by commit c3096e6782b7 (""mm/migrate";1;0
"__unmap_and_move() push good newpage to LRU"") to drain the newpage to LRU
immediately, to help to build up the correct newpage->mlock_count in
remove_migration_ptes() for mlocked pages";1;1
" However, if there are no
mlocked pages are migrating, then we can avoid this lru drain operation,
especailly for the heavy concurrent scenarios";0;1
"So we can record the source pages' mlocked status in
migrate_folio_unmap(), and only drain the lru list when the mlocked status
is set in migrate_folio_move()";1;0
"In addition, the page was already isolated from lru when migrating, so
checking the mlocked status is stable by folio_test_mlocked() in
migrate_folio_unmap()";1;1
After this patch, I can see the hotpot of the lru_add_drain() is gone;1;1
"   - 9.41% migrate_pages_batch
      - 6.15% migrate_folio_move
         - 3.64% move_to_new_folio
            + 1.80% migrate_folio_extra
            + 1.70% buffer_migrate_folio
         + 1.41% rmap_walk
         + 0.62% folio_add_lru
      + 3.07% migrate_folio_unmap
Meanwhile, the compaction latency shows some improvements when running
thpscale";1;0
"                            base                   patched
Amean     fault-both-1      1131.22 (   0.00%)     1112.55 *   1.65%*
Amean     fault-both-3      2489.75 (   0.00%)     2324.15 *   6.65%*
Amean     fault-both-5      3257.37 (   0.00%)     3183.18 *   2.28%*
Amean     fault-both-7      4257.99 (   0.00%)     4079.04 *   4.20%*
Amean     fault-both-12     6614.02 (   0.00%)     6075.60 *   8.14%*
Amean     fault-both-18    10607.78 (   0.00%)     8978.86 *  15.36%*
Amean     fault-both-24    14911.65 (   0.00%)    11619.55 *  22.08%*
Amean     fault-both-30    14954.67 (   0.00%)    14925.66 *   0.19%*
Amean     fault-both-32    16654.87 (   0.00%)    15580.31 *   6.45%*";1;0
mm/migrate: add nr_split to trace_mm_migrate_pages stats.;1;0
"Add nr_split to trace_mm_migrate_pages for large folio (including THP)
split events.";1;0
mm/migrate: correct nr_failed in migrate_pages_sync();1;1
"nr_failed was missing the large folio splits from migrate_pages_batch()
and can cause a mismatch between migrate_pages() return value and the
number of not migrated pages, i.e., when the return value of
migrate_pages() is 0, there are still pages left in the from page list";0;0
"
It will happen when a non-PMD THP large folio fails to migrate due to
-ENOMEM and is split successfully but not all the split pages are not
migrated, migrate_pages_batch() would return non-zero, but
astats.nr_thp_split = 0";0;0
" nr_failed would be 0 and returned to the caller
of migrate_pages(), but the not migrated pages are left in the from page
list without being added back to LRU lists";0;0
"Fix it by adding a new nr_split counter for large folio splits and adding
it to nr_failed in migrate_page_sync() after migrate_pages_batch() is
done.";1;1
mm: migrate: use folio_xchg_last_cpupid() in folio_migrate_flags();1;0
"Convert to use folio_xchg_last_cpupid() in folio_migrate_flags(), also
directly use folio_nid() instead of page_to_nid(&folio->page).";1;0
hugetlb: memcg: account hugetlb-backed memory in memory controller;1;0
"Currently, hugetlb memory usage is not acounted for in the memory
controller, which could lead to memory overprotection for cgroups with
hugetlb-backed memory";0;1
 This has been observed in our production system;0;1
"For instance, here is one of our usecases: suppose there are two 32G
containers";1;1
" The machine is booted with hugetlb_cma=6G, and each container
may or may not use up to 3 gigantic page, depending on the workload within
it";0;0
 The rest is anon, cache, slab, etc;1;0
" We can set the hugetlb cgroup
limit of each cgroup to 3G to enforce hugetlb fairness";1;0
" But it is very
difficult to configure memory.max to keep overall consumption, including
anon, cache, slab etc";0;0
 fair;0;0
"What we have had to resort to is to constantly poll hugetlb usage and
readjust memory.max";0;0
" Similar procedure is done to other memory limits
(memory.low for e.g)";0;1
 However, this is rather cumbersome and buggy;0;1
"
Furthermore, when there is a delay in memory limits correction, (for e.g
when hugetlb usage changes within consecutive runs of the userspace
agent), the system could be in an over/underprotected state";0;1
"This patch rectifies this issue by charging the memcg when the hugetlb
folio is utilized, and uncharging when the folio is freed (analogous to
the hugetlb controller)";1;0
" Note that we do not charge when the folio is
allocated to the hugetlb pool, because at this point it is not owned by
any memcg";0;1
Some caveats to consider;1;0
    controller;1;0
"As stated above, hugetlb folios are only charged towards
    the memory controller when it is used";1;0
"Host overcommit management
    has to consider it when configuring hard limits";0;0
"    happen even if the hugetlb pool still has pages (but the cgroup
    limit is hit and reclaim attempt fails)";0;0
    reclaim protection;1;0
"low, min limits tuning must take into account
    hugetlb memory";1;1
"    be tracked by the memory controller (even if cgroup v2 is remounted
    later on).";1;0
mm/migrate: remove unused mm argument from do_move_pages_to_node;1;1
This function does not actively use the mm_struct, it can be removed.;1;1
Merge mm-hotfixes-stable into mm-stable to pick up depended-upon changes.;1;1
;0;0
mm/filemap: remove hugetlb special casing in filemap.c;1;0
"Remove special cased hugetlb handling code within the page cache by
changing the granularity of ->index to the base page size rather than the
huge page size";1;1
" The motivation of this patch is to reduce complexity
within the filemap code while also increasing performance by removing
branches that are evaluated on every page cache lookup";1;1
"To support the change in index, new wrappers for hugetlb page cache
interactions are added";1;0
" These wrappers perform the conversion to a linear
index which is now expected by the page cache for huge pages";0;1
"========================= PERFORMANCE ======================================
Perf was used to check the performance differences after the patch";0;0
"
Overall the performance is similar to mainline with a very small larger
overhead that occurs in __filemap_add_folio() and
hugetlb_add_to_page_cache()";1;0
" This is because of the larger overhead that
occurs in xa_load() and xa_store() as the xarray is now using more entries
to store hugetlb folios in the page cache";0;1
"Timing
aarch64
    2MB Page Size
        6.5-rc3 + this patch";1;0
"            [root@sidhakum-ol9-1 hugepages]# time fallocate -l 700GB test.txt
            real    1m49.568s
            user    0m0.000s
            sys     1m49.461s
        6.5-rc3";1;0
"            [root]# time fallocate -l 700GB test.txt
            real    1m47.495s
            user    0m0.000s
            sys     1m47.370s
    1GB Page Size
        6.5-rc3 + this patch";1;0
"            [root@sidhakum-ol9-1 hugepages1G]# time fallocate -l 700GB test.txt
            real    1m47.024s
            user    0m0.000s
            sys     1m46.921s
        6.5-rc3";1;0
"            [root@sidhakum-ol9-1 hugepages1G]# time fallocate -l 700GB test.txt
            real    1m44.551s
            user    0m0.000s
            sys     1m44.438s
    2MB Page Size
        6.5-rc3 + this patch";1;0
"            [root@sidhakum-ol9-2 hugepages]# time fallocate -l 100GB test.txt
            real    0m22.383s
            user    0m0.000s
            sys     0m22.255s
        6.5-rc3";1;0
"            [opc@sidhakum-ol9-2 hugepages]$ time sudo fallocate -l 100GB /dev/hugepages/test.txt
            real    0m22.735s
            user    0m0.038s
            sys     0m22.567s
    1GB Page Size
        6.5-rc3 + this patch";1;0
"            [root@sidhakum-ol9-2 hugepages1GB]# time fallocate -l 100GB test.txt
            real    0m25.786s
            user    0m0.001s
            sys     0m25.589s
        6.5-rc3";1;0
"            [root@sidhakum-ol9-2 hugepages1G]# time fallocate -l 100GB test.txt
            real    0m33.454s
            user    0m0.001s
            sys     0m33.193s
aarch64";0;0
"    workload - fallocate a 700GB file backed by huge pages
    6.5-rc3 + this patch";1;0
        2MB Page Size;1;0
"            --100.00%--__arm64_sys_fallocate
                          ksys_fallocate
                          vfs_fallocate
                          hugetlbfs_fallocate
                          |--95.04%--__pi_clear_page
                          |--3.57%--clear_huge_page
                          |          |--2.63%--rcu_all_qs
                          |           --0.91%--__cond_resched
                           --0.67%--__cond_resched
            0.17%     0.00%             0  fallocate  [kernel.vmlinux]       [k] hugetlb_add_to_page_cache
            0.14%     0.10%            11  fallocate  [kernel.vmlinux]       [k] __filemap_add_folio
    6.5-rc3
        2MB Page Size";1;0
"                --100.00%--__arm64_sys_fallocate
                          ksys_fallocate
                          vfs_fallocate
                          hugetlbfs_fallocate
                          |--94.91%--__pi_clear_page
                          |--4.11%--clear_huge_page
                          |          |--3.00%--rcu_all_qs
                          |           --1.10%--__cond_resched
                           --0.59%--__cond_resched
            0.08%     0.01%             1  fallocate  [kernel.kallsyms]  [k] hugetlb_add_to_page_cache
            0.05%     0.03%             3  fallocate  [kernel.kallsyms]  [k] __filemap_add_folio
    workload - fallocate a 100GB file backed by huge pages
    6.5-rc3 + this patch";1;1
        2MB Page Size;1;0
"            hugetlbfs_fallocate
            --99.57%--clear_huge_page
                --98.47%--clear_page_erms
                    --0.53%--asm_sysvec_apic_timer_interrupt
            0.04%     0.04%             1  fallocate  [kernel.kallsyms]     [k] xa_load
            0.04%     0.00%             0  fallocate  [kernel.kallsyms]     [k] hugetlb_add_to_page_cache
            0.04%     0.00%             0  fallocate  [kernel.kallsyms]     [k] __filemap_add_folio
            0.04%     0.00%             0  fallocate  [kernel.kallsyms]     [k] xas_store
    6.5-rc3
        2MB Page Size";1;0
"                --99.93%--__x64_sys_fallocate
                          vfs_fallocate
                          hugetlbfs_fallocate
                           --99.38%--clear_huge_page
                                     |--98.40%--clear_page_erms
                                      --0.59%--__cond_resched
            0.03%     0.03%             1  fallocate  [kernel.kallsyms]  [k] __filemap_add_folio
========================= TESTING ======================================
This patch passes libhugetlbfs tests and LTP hugetlb tests
    Done executing testcases";1;1
"    LTP Version:  20220527-178-g2761a81c4
page migration was also tested using Mike Kravetz's test program.[8]";1;0
mm/migrate: fix do_pages_move for compat pointers;1;1
do_pages_move does not handle compat pointers for the page list;1;0
"
correctly";0;0
" Add in_compat_syscall check and appropriate get_user fetch
when iterating the page list";1;0
"It makes the syscall in compat mode (32-bit userspace, 64-bit kernel)
work the same way as the native 32-bit syscall again, restoring the
behavior before my broken commit 5b1b561ba73c (""mm: simplify
compat_sys_move_pages"")";1;1
"More specifically, my patch moved the parsing of the 'pages' array from
the main entry point into do_pages_stat(), which left the syscall
working correctly for the 'stat' operation (nodes = NULL), while the
'move' operation (nodes != NULL) is now missing the conversion and
interprets 'pages' as an array of 64-bit pointers instead of the
intended 32-bit userspace pointers";1;1
"It is possible that nobody noticed this bug because the few
applications that actually call move_pages are unlikely to run in
compat mode because of their large memory requirements, but this
clearly fixes a user-visible regression and should have been caught by
ltp.";0;1
mm: migrate: remove isolated variable in add_page_for_migration();1;1
"Directly check the return of isolate_hugetlb() and folio_isolate_lru() to
remove isolated variable, also setup err = -EBUSY in advance before
isolation, and update err only when successfully queued for migration,
which could help us to unify and simplify code a bit.";1;1
mm: migrate: remove PageHead() check for HugeTLB in add_page_for_migration();1;0
"There is some different between hugeTLB and THP behave when passed the
address of a tail page, for THP, it will migrate the entire THP page, but
for HugeTLB, it will return -EACCES, or -ENOENT before commit e66f17ff7177
(""mm/hugetlb: take page table lock in follow_huge_pmd()""),
  -EACCES The page is mapped by multiple processes and can be moved
	  only if MPOL_MF_MOVE_ALL is specified";0;0
  -ENOENT The page is not present;0;1
"But when check manual[1], both of the two errnos are not suitable, it is
better to keep the same behave between hugetlb and THP when passed the
address of a tail page, so let's just remove the PageHead() check for
HugeTLB.";1;1
mm: migrate: use a folio in add_page_for_migration();1;0
Use a folio in add_page_for_migration() to save compound_head() calls.;1;0
mm: migrate: use __folio_test_movable();1;1
Use __folio_test_movable(), no need to convert from folio to page again.;1;0
mm: migrate: convert migrate_misplaced_page() to migrate_misplaced_folio();1;0
"At present, numa balance only support base page and PMD-mapped THP, but we
will expand to support to migrate large folio/pte-mapped THP in the
future, it is better to make migrate_misplaced_page() to take a folio
instead of a page, and rename it to migrate_misplaced_folio(), it is a
preparation, also this remove several compound_head() calls.";1;1
mm: migrate: convert numamigrate_isolate_page() to numamigrate_isolate_folio();1;0
"Rename numamigrate_isolate_page() to numamigrate_isolate_folio(), then
make it takes a folio and use folio API to save compound_head() calls.";1;0
mm: migrate: remove THP mapcount check in numamigrate_isolate_page();1;1
"The check of THP mapped by multiple processes was introduced by commit
04fa5d6a6547 (""mm: migrate: check page_count of THP before migrating"") and
refactor by commit 340ef3902cf2 (""mm: numa: cleanup flow of transhuge page
migration""), which is out of date, since migrate_misplaced_page() is now
using the standard migrate_pages() for small pages and THPs, the reference
count checking is in folio_migrate_mapping(), so let's remove the special
check for THP.";1;1
mm: migrate: remove PageTransHuge check in numamigrate_isolate_page();1;1
"Patch series ""mm: migrate: more folio conversion and unification"", v3";1;1
"Convert more migrate functions to use a folio, it is also a preparation
for large folio migration support when balancing numa";0;1
This patch (of 8);1;0
"The assert VM_BUG_ON_PAGE(order && !PageTransHuge(page), page) is not very
useful,
   1) for a tail/base page, order = 0, for a head page, the order > 0 &&
      PageTransHuge() is true
   2) there is a PageCompound() check and only base page is handled in
      do_numa_page(), and do_huge_pmd_numa_page() only handle PMD-mapped
   3) even though the page is a tail page, isolate_lru_page() will post
      a warning, and fail to isolate the page
   4) if large folio/pte-mapped THP migration supported in the future,
      we could migrate the entire folio if numa fault on a tail page
so just remove the check.";1;1
mm/rmap: pass folio to hugepage_add_anon_rmap();1;0
"Let's pass a folio; we are always mapping the entire thing.";1;0
mm: hugetlb: add huge page size param to set_huge_pte_at();1;0
"Patch series ""Fix set_huge_pte_at() panic on arm64"", v2";1;1
"This series fixes a bug in arm64's implementation of set_huge_pte_at(),
which can result in an unprivileged user causing a kernel panic";0;1
" The
problem was triggered when running the new uffd poison mm selftest for
HUGETLB memory";0;0
" This test (and the uffd poison feature) was merged for
v6.5-rc7";0;0
"Ideally, I'd like to get this fix in for v6.6 and I've cc'ed stable
(correctly this time) to get it backported to v6.5, where the issue first
showed up";1;1
"Description of Bug
arm64's huge pte implementation supports multiple huge page sizes, some of
which are implemented in the page table with multiple contiguous entries";1;0
"
So set_huge_pte_at() needs to work out how big the logical pte is, so that
it can also work out how many physical ptes (or pmds) need to be written";0;1
"
It previously did this by grabbing the folio out of the pte and querying
its size";1;0
However, there are cases when the pte being set is actually a swap entry;0;0
"
But this also used to work fine, because for huge ptes, we only ever saw
migration entries and hwpoison entries";0;1
" And both of these types of swap
entries have a PFN embedded, so the code would grab that and everything
still worked out";0;0
"But over time, more calls to set_huge_pte_at() have been added that set
swap entry types that do not embed a PFN";0;0
" And this causes the code to go
bang";0;1
" The triggering case is for the uffd poison test, commit
99aa77215ad0 (""selftests/mm: add uffd unit test for UFFDIO_POISON""), which
causes a PTE_MARKER_POISONED swap entry to be set, coutesey of commit
8a13897fb0da (""mm: userfaultfd: support UFFDIO_POISON for hugetlbfs"") -
added in v6.5-rc7";1;0
" Although review shows that there are other call sites
that set PTE_MARKER_UFFD_WP (which also has no PFN), these don't trigger
on arm64 because arm64 doesn't support UFFD WP";0;1
"If CONFIG_DEBUG_VM is enabled, we do at least get a BUG(), but otherwise,
it will dereference a bad pointer in page_folio()";1;1
"    static inline struct folio *hugetlb_swap_entry_to_folio(swp_entry_t entry)
The simplest fix would have been to revert the dodgy cleanup commit
18f3962953e4 (""mm: hugetlb: kill set_huge_swap_pte_at()""), but since
things have moved on, this would have required an audit of all the new
set_huge_pte_at() call sites to see if they should be converted to
set_huge_swap_pte_at()";1;1
" As per the original intent of the change, it
would also leave us open to future bugs when people invariably get it
wrong and call the wrong helper";0;1
So instead, I've added a huge page size parameter to set_huge_pte_at();1;0
"
This means that the arm64 code has the size in all cases";1;1
" It's a bigger
change, due to needing to touch the arches that implement the function,
but it is entirely mechanical, so in my view, low risk";0;1
"I've compile-tested all touched arches; arm64, parisc, powerpc, riscv,
s390, sparc (and additionally x86_64)";1;0
" I've additionally booted and run
mm selftests against arm64, where I observe the uffd poison test is fixed,
and there are no other regressions";1;0
This patch (of 2);1;0
"In order to fix a bug, arm64 needs to be told the size of the huge page
for which the pte is being set in set_huge_pte_at()";1;0
" Provide for this by
adding an `unsigned long sz` parameter to the function";0;0
" This follows the
same pattern as huge_pte_clear()";1;1
"This commit makes the required interface modifications to the core mm as
well as all arches that implement this function (arm64, parisc, powerpc,
riscv, s390, sparc)";0;1
" The actual arm64 bug will be fixed in a separate
commit";1;0
No behavioral changes intended.;1;1
migrate: use folio_set_bh() instead of set_bh_page();1;0
This function was converted before folio_set_bh() existed;0;0
" Catch up to
the new API.";0;1
mm: merge folio_has_private()/filemap_release_folio() call pairs;0;1
"Patch series ""mm, netfs, fscache: Stop read optimisation when folio
removed from pagecache"", v7";0;0
"This fixes an optimisation in fscache whereby we don't read from the cache
for a particular file until we know that there's data there that we don't
have in the pagecache";0;1
" The problem is that I'm no longer using PG_fscache
(aka PG_private_2) to indicate that the page is cached and so I don't get
a notification when a cached page is dropped from the pagecache";1;1
"The first patch merges some folio_has_private() and
filemap_release_folio() pairs and introduces a helper,
folio_needs_release(), to indicate if a release is required";1;0
The second patch is the actual fix;1;1
" Following Willy's suggestions[1], it
adds an AS_RELEASE_ALWAYS flag to an address_space that will make
filemap_release_folio() always call ->release_folio(), even if
PG_private/PG_private_2 aren't set";0;1
" folio_needs_release() is altered to
add a check for this";0;1
This patch (of 2);1;0
Make filemap_release_folio() check folio_has_private();1;1
" Then, in most
cases, where a call to folio_has_private() is immediately followed by a
call to filemap_release_folio(), we can get rid of the test in the pair";0;1
"There are a couple of sites in mm/vscan.c that this can't so easily be
done";0;1
" In shrink_folio_list(), there are actually three cases (something
different is done for incompletely invalidated buffers), but
filemap_release_folio() elides two of them";0;1
"In shrink_active_list(), we don't have have the folio lock yet, so the
check allows us to avoid locking the page unnecessarily";1;1
"A wrapper function to check if a folio needs release is provided for those
places that still need to do it in the mm/ directory";1;1
" This will acquire
additional parts to the condition in a future patch";0;0
"After this, the only remaining caller of folio_has_private() outside of
mm/ is a check in fuse.";0;1
fs: add CONFIG_BUFFER_HEAD;1;0
"Add a new config option that controls building the buffer_head code, and
select it from all file systems and stacking drivers that need it";1;1
"For the block device nodes and alternative iomap based buffered I/O path
is provided when buffer_head support is not enabled, and iomap needs a
a small tweak to define the IOMAP_F_BUFFER_HEAD flag to 0 to not call
into the buffer_head code when it doesn't exist";0;1
Otherwise this is just Kconfig and ifdef changes.;1;1
mm: Make pte_mkwrite() take a VMA;1;0
"The x86 Shadow stack feature includes a new type of memory called shadow
stack";1;1
"This shadow stack memory has some unusual properties, which requires
some core mm changes to function properly";0;0
"One of these unusual properties is that shadow stack memory is writable,
but only in limited ways";0;1
"These limits are applied via a specific PTE
bit combination";1;0
"Nevertheless, the memory is writable, and core mm code
will need to apply the writable permissions in the typical paths that
call pte_mkwrite()";0;0
"Future patches will make pte_mkwrite() take a VMA, so
that the x86 implementation of it can know whether to create regular
writable or shadow stack mappings";1;1
But there are a couple of challenges to this;0;0
"Modifying the signatures of
each arch pte_mkwrite() implementation would be error prone because some
are generated with macros and would need to be re-implemented";1;0
"Also, some
pte_mkwrite() callers operate on kernel memory without a VMA";1;0
So this can be done in a three step process;1;1
"First pte_mkwrite() can be
renamed to pte_mkwrite_novma() in each arch, with a generic pte_mkwrite()
added that just calls pte_mkwrite_novma()";1;0
"Next callers without a VMA can
be moved to pte_mkwrite_novma()";0;1
"And lastly, pte_mkwrite() and all callers
can be changed to take/pass a VMA";1;0
"Previous work pte_mkwrite() renamed pte_mkwrite_novma() and converted
callers that don't have a VMA were to use pte_mkwrite_novma()";0;0
"So now
change pte_mkwrite() to take a VMA and change the remaining callers to
pass a VMA";1;0
Apply the same changes for pmd_mkwrite();1;1
No functional change.;1;0
mm: remove unnecessary pagevec includes;1;1
"These files no longer need pagevec.h, mostly due to function declarations
being moved out of it.";0;1
mm: fix shmem THP counters on migration;1;1
"The per node numa_stat values for shmem don't change on page migration for
THP";0;0
  grep shmem /sys/fs/cgroup/machine.slice/.../memory.numa_stat;1;0
"    shmem N0=1092616192 N1=10485760
    shmem_thp N0=1092616192 N1=10485760
  migratepages 9181 0 1";0;0
"    shmem N0=0 N1=1103101952
    shmem_thp N0=1092616192 N1=10485760
Fix that by updating shmem_thp counters likewise to shmem counters on page
migration.";0;1
mm: ptep_get() conversion;1;0
"Convert all instances of direct pte_t* dereferencing to instead use
ptep_get() helper";1;0
" This means that by default, the accesses change from a
C dereference to a READ_ONCE()";1;1
